gene_id	arf19_T06_A	arf19_T06_B	arf19_T09_A	arf19_T09_B	arf19_T12_A	arf19_T12_B	arf19_T15_A	arf19_T15_B	arf19_T18_A	arf19_T18_B	arf19_T21_A	arf19_T21_B
AT1G03840	258.6314494354323	220.47486218939528	248.6209284620872	287.1565579567032	340.02625168209875	385.67257012060054	340.98285789168006	363.1035131970784	319.783891018447	312.2663625846495	322.47596357822044	359.42042594718646
AT1G04240	115.07913117081159	80.57220877353316	109.68570373327377	102.00838711808964	135.19116030734045	143.86199044181132	119.54777487835794	139.2268072074687	162.38247425547308	172.4899907610445	166.75316426479407	200.44600677823863
AT1G04550	205.24422363454028	180.18875780262871	144.78512892792136	180.43101998922214	192.5449858922728	205.0798587149225	224.15207789692113	213.85237587067195	229.12864465496202	255.7610207836177	269.27067381279977	262.65338819217476
AT1G04610	103.21530321505783	191.9083518060517	59.961518040856326	70.75726274087143	28.676912792466158	3.0608934136555597	16.981218022494026	27.845361441493743	0	6.939252501881101	26.602644882710337	2.3039770894050413
AT1G08925	0	0	1.4624760497769835	0	5.4622691033268875	0	0	0	0.9962114984998349	0	1.2976899942785531	1.1519885447025207
AT1G09605	43.89616343628896	16.84691637992057	40.94932939375554	34.788987514261784	65.54722923992266	45.91340120483339	52.98140023018136	55.69072288298749	101.61357284698316	86.24499538052225	93.43367958805582	95.61504921030922
AT1G09745	11.863827955753774	10.25464475299513	14.624760497769834	11.203233267304643	19.117941861644105	15.304467068277798	12.226476976195698	14.479587949576747	17.931806972997027	9.913217859830144	12.976899942785531	12.671873991727729
AT1G09925	16.609359138055282	14.649492504278756	19.012188647100785	23.58575424695714	21.84907641330755	26.017594016072255	25.132202673291157	24.503918068514494	27.893921957995378	26.76568822154139	22.060729902735403	32.25567925167058
AT1G12820	317.9505892142011	360.37751560525743	330.51958724959826	372.0652732457489	368.7031644745649	342.8200623294227	360.6810707977731	331.9167083826054	422.39367536393	457.99066512415266	354.269368438045	407.80394482469234
AT1G14510	482.85779779917857	534.7064764061746	497.2418569241744	494.71119532992606	494.3353538510833	491.2733928917173	470.04011486263465	486.7369179973106	481.17015377542026	497.6435365634732	543.7321076027138	528.7627420184571
AT1G15580	0	0	0	1.1792877123478571	2.7311345516634438	0	1.3584974417995221	0	0	0	0.6488449971392766	1.1519885447025207
AT1G16060	135.247638695593	106.94129528123493	163.79731757502216	170.40707443426535	204.8350913747583	303.02844795190043	309.73741673029105	358.6482553664394	316.7952565229475	390.58078367730764	345.1855384780951	380.1562197518318
AT1G17950	24.914038707082923	16.114441754706633	46.79923359286347	43.633645356870716	76.47176744657642	117.84439642573905	151.47246476064672	160.38928190300396	173.34080073897127	223.04740184617825	168.69969925621191	300.6690101673579
AT1G19220	88.9787096681533	153.81967129492693	93.59846718572695	102.59803097426357	61.45052741242748	52.03518803214451	65.20787720637706	80.19464095150198	48.81436342649191	75.3404557347091	45.419149799749356	59.90340432453108
AT1G19850	162.53444299382667	206.55784431033047	248.6209284620872	224.65430920226677	319.5427425446229	329.04604196797266	444.2286634684437	407.6560915034684	512.0527102289151	604.7062894496388	482.74067787162176	521.8508107502419
AT1G23080	1041.6440945151812	923.6505023947756	962.3092407532552	1130.347272285421	958.6282276338687	1036.1124205224069	1096.3074355322142	1052.5546624884635	1092.844013854319	1215.3605096151757	1224.3705096018148	1078.2612778415594
AT1G26870	4.745531182301509	6.592271626925441	2.924952099553967	1.7689315685217857	5.4622691033268875	0	4.754741046298327	6.682886745958498	0	0	7.137294968532042	2.3039770894050413
AT1G28130	293.0365505071182	288.5950023342915	310.0449225527205	318.4076823339214	394.64894271536764	400.97703718887834	425.88894800415017	423.2494939107049	512.0527102289151	524.4092247850145	546.3274875912708	518.3948451161343
AT1G30330	422.35227522483433	528.1142047792492	475.30471617751965	349.6588067111396	458.83060467945853	393.3248036547394	488.3798303269282	488.96454691263017	490.1360572619188	504.5827890653543	570.9835974825634	589.8181348876906
