gene_id	lbd29_T06_A	lbd29_T06_B	lbd29_T09_A	lbd29_T09_B	lbd29_T12_A	lbd29_T12_B	lbd29_T15_A	lbd29_T15_B	lbd29_T18_A	lbd29_T18_B	lbd29_T21_A	lbd29_T21_B
AT1G03840	315.31172811837985	312.03867106391584	350.25195524662644	366.08740466521255	303.1054020462819	402.4792556367788	357.780544119403	411.62758266030096	342.4576236253435	419.3112455102946	344.82809083840743	417.4849520870578
AT1G04240	166.6281490056479	187.60607217339725	158.67118777951197	181.917279549021	163.58069316783468	237.27427191810102	222.97697417868005	256.26619932158815	244.07888811115393	271.6246298349873	292.28285794874535	261.00728415761427
AT1G04550	201.2355337991286	220.14998265245595	189.2300832037143	191.4918732094958	259.8046303253845	241.7093050380655	259.433285546297	253.0628718300683	262.7583948543545	262.7189042666271	226.60131683666773	255.3056687269868
AT1G04610	189.6997388679684	274.70889139676024	71.69587003370542	64.76931005615299	22.45225200342829	34.37150667972492	11.869496724340383	17.618301203359184	4.981201798186815	4.45286278418012	0	8.869179558753883
AT1G08925	3.845264977053413	0	0	1.6896341753779043	0	1.1087582799911262	0.8478211945957417	0.800831872879963	2.4906008990934074	0	0	0.6335128256252774
AT1G09605	30.762119816427305	29.672388966200582	50.539711663103816	46.183334126996044	93.01647258563149	60.981705399511945	119.54278843799958	77.6806916693564	143.20955169787092	113.54800099659305	159.2777371967882	109.59771883317299
AT1G09745	14.099304915862515	13.400433726671231	12.928763448700975	20.27561010453485	22.45225200342829	15.522615919875767	20.347708670297802	19.219964949119113	17.43420629365385	10.390013163086946	9.85223116681164	10.136205210004439
AT1G09925	17.94456989291593	17.229129077148727	29.383553292502217	28.723780981424373	38.489574863019925	34.37150667972492	35.60849017302115	32.834106788078486	39.84961438549452	39.33362126025772	42.69300172285044	34.84320540939026
AT1G12820	474.24934716992095	475.7153972968287	392.5642719878296	427.47744637060975	452.2525046404841	390.28291455687645	412.8889217681262	488.5074424567774	453.28936363500014	448.2548536074654	451.5605951455335	475.13461921895805
AT1G14510	615.2423963285461	624.0773421278317	632.3340668546477	607.7050917442529	556.4951032278298	539.9652823556785	596.0182998008064	591.0139221854126	642.5750319660991	608.5579138379497	623.9746405647372	635.4133641021532
AT1G15580	2.5635099847022755	1.9143476752387474	2.3506842634001774	1.6896341753779043	0	2.2175165599822524	0.8478211945957417	0	1.2453004495467037	1.4842875947267065	0	2.5340513025011098
AT1G16060	140.99304915862515	126.34694656575732	197.4574781256149	241.6176870790403	327.16138633566936	389.1741562768853	339.1284778382967	433.25004322806	346.19352497398364	383.68834323685365	341.5440137828035	412.41684948205557
AT1G17950	30.762119816427305	27.758041290961838	66.99450150690505	61.95325309718982	110.65752773118228	153.00864263877543	150.91217263804202	233.8429068809492	252.79599125798086	250.10245971145005	228.24335536446966	297.75102804388035
AT1G19220	207.64430876088431	304.3812803629608	244.47116339361844	219.08923140733492	174.80681916954882	228.404205678172	211.9552986489354	254.66453557582824	191.77626923019238	215.22170123537245	210.18093155864833	263.5413354601154
AT1G19850	144.83831413567856	131.1328157538542	202.15884665241526	319.9040705382165	208.48519717469125	368.1077489570539	300.9765240814883	414.83091015182083	498.1201798186815	709.4894702793657	543.5147527024421	593.6015176108849
AT1G23080	1349.688006945748	1282.6129424099606	1182.3941844902893	1235.122582201248	1109.7827418837412	1155.3261277507536	1253.0797256125063	1336.5883958366583	1266.4705571889976	1477.6083005504363	1266.0117049352957	1319.607215777453
AT1G26870	12.817549923511377	5.743043025716242	4.701368526800355	7.8849594850968865	4.811196857877491	8.87006623992901	2.5434635837872253	4.004159364399815	2.4906008990934074	0.7421437973633532	0	1.2670256512505549
AT1G28130	307.62119816427304	370.4262751586976	364.3560608270275	444.93699951618146	641.4929143836654	494.5061928760423	759.6477903577845	677.5037644564487	647.5562337642859	620.4322145957633	791.4625704005351	647.4501077890335
AT1G30330	549.872891718638	488.1586571858806	506.5724587627382	527.1658627179061	436.21518178089246	485.6361266361133	536.6708161791045	648.67381703277	612.6878211769782	616.7214956089466	737.2752989830711	733.6078520740713
AT1G30490	207.64430876088431	235.46476405436593	198.632820257315	235.42236176932133	254.993433467507	252.79688783797678	298.4330604977011	312.32443042318556	318.79691508395615	366.61903589749653	397.3733237280695	325.6255923713926
AT1G31320	46.14317972464096	61.259125607639916	57.59176445330435	77.15996067559095	115.46872458905978	86.48314583930785	167.86859652995685	184.1913307623915	220.41817956976655	242.68102173781654	185.55035364161924	263.5413354601154
AT1G32240	66.65125960225916	75.61673317193052	50.539711663103816	52.94187082850766	59.33809458048905	34.37150667972492	44.086702118978565	43.244921135518	44.830816183681335	59.371503789068264	44.33504025065238	44.97941061939469
AT1G47870	162.78288402859448	171.33411693386788	218.6136364962165	194.8711415602516	226.12625232024206	232.8392387981365	251.80289479493527	249.85954433854846	226.64468181750007	296.8575189453413	254.5159718093007	259.7402585063637
AT1G51190	30.762119816427305	28.71521512858121	16.45478984380124	17.459553145571675	1.6037322859591636	15.522615919875767	10.173854335148901	9.609982474559557	2.4906008990934074	5.195006581543473	16.4203852780194	8.235666733128607
AT1G51950	303.7759331872196	357.02584143202637	356.12866590512687	319.3408591464239	372.06589034252596	321.5399011974266	330.65026589233923	334.74772286382455	331.2499195794232	316.1532576767885	288.99878089314143	297.75102804388035
AT1G52150	920.3000845081168	816.4692834893258	856.8244140093647	924.7931053235062	910.9199384248049	912.5080644326969	871.5601880444225	876.1100689306795	861.7479110863189	807.4524515313284	853.8600344570089	819.1320835334836
AT1G53700	73.06003456401484	92.84586224907925	35.26026395100266	34.355894899350716	3.2074645719183272	16.631374199866894	16.956423891914834	4.804991237279778	3.735901348640111	2.22643139209006	0	1.9005384768758322
AT1G54990	607.5518663744392	664.2786433078453	633.5094089863478	569.4067171023537	675.1712923888078	604.2732625951638	652.8223198387211	666.2921182361292	653.7827360120194	602.6207634590429	622.3326020369353	633.5128256252774
AT1G59750	628.0599462520574	685.3364677354715	740.4655429710559	806.5187130470529	846.7706469864384	842.656292793256	932.6033140553159	887.321715150999	910.3146286186404	882.4089750650271	922.8256526246903	927.4627767154061
AT1G63650	32.04387480877844	53.601734906684925	28.20821116080213	36.608740466521255	9.622393715754981	18.848890759849144	6.782569556765933	11.211646220319482	0	0.7421437973633532	8.2101926390097	13.303769338130826
AT1G64000	32.04387480877844	8.614564538574363	112.83284464320852	73.21748093304251	160.37322859591634	228.404205678172	271.30278227063735	417.2334057704607	358.6465294694507	457.1605791758256	408.86759342268306	464.36490118332836
AT1G65380	94.8498694339842	67.00216863335616	79.92326495560603	72.65426954124987	80.18661429795817	93.1356955192546	94.95597379472306	104.10814347439519	93.39753371600278	103.90013163086947	144.49939044657071	125.43553947380492
AT1G67105	12.817549923511377	4.785869188096869	9.40273705360071	6.1953253097189815	22.45225200342829	27.718956999778158	11.021675529744641	11.211646220319482	22.415408091840668	16.327163541993773	32.8407705560388	15.204307815006658
AT1G68880	298.6489132178151	201.00650590006848	450.15603644113395	429.7302919377803	628.6630560959921	524.4426664358027	1027.559287850039	984.2223717694745	1415.9066111346021	1418.2367967613682	1261.08558935189	990.1805464523086
AT1G70210	298.6489132178151	198.13498438721035	414.8957724901313	428.603869154195	667.1526309590121	592.0769215152615	773.2129294713164	719.1470218462068	712.3118571407146	670.8979928164714	681.4459890378051	557.4912865502441
AT1G70940	1177.9328379706956	984.9318789103355	897.9613886188678	950.1376179541747	915.7311352826823	891.4416571128655	816.4518103956992	836.8693071595613	859.2573101872256	866.8239553203966	748.7695686776847	775.4196985653396
AT1G73590	467.84057220816527	354.15431991916824	456.03274709963443	500.13171591185966	508.38313464905485	537.7477657956962	572.2793063521257	558.1798153973342	636.3485297183656	538.7963968857945	538.5886371190363	490.3389270339647
AT1G74500	335.8198079959981	374.2549705091751	195.10679386221472	147.5613846496703	43.300771720897416	68.74301335944983	38.151953756808375	52.85490361007756	24.906008990934076	9.647869365723592	14.77834675021746	27.874564327512207
AT1G75820	674.2031259766984	629.8203851535479	627.6326983278474	704.577451132586	644.7003789555837	722.9103985542143	674.8656708982104	664.6904544903692	587.7818121860441	665.702986234928	689.6561816768149	677.2252105934215
AT1G76420	0	0	0	1.6896341753779043	0	0	0	0	0	0.7421437973633532	0	0
AT1G76540	239.68818356966275	132.08998959147357	378.4601664074286	406.63862487428224	609.4182686644822	485.6361266361133	808.8214196443375	656.6821357615696	764.6144760216761	684.9987249663751	702.7924898992303	603.1042099952641
AT1G77690	1791.8934793068904	2267.5448213202963	1314.0325032406993	1189.5024594660445	976.6729621491306	955.7496373523508	1119.123976866379	1214.8619511589038	1252.772252243984	1442.7275420743588	1448.2779815213112	1535.0015764900472
AT1G77850	124.33023425806036	153.1478140190998	157.49584564781188	130.66504289589125	139.52470887844723	155.22615919875767	175.49898728131853	136.94225026247366	166.8702602392583	120.96943897022659	157.63569866898624	149.50902684756545
AT1G79580	30.762119816427305	27.758041290961838	16.45478984380124	32.10304933218018	1.6037322859591636	13.305099359893514	5.9347483621701915	6.406654983039704	3.735901348640111	0.7421437973633532	0	9.502692384379161
AT1G79840	384.5264977053413	474.7582234592093	228.01637354981722	244.99695542979612	137.92097659248807	156.3349174787488	136.4992123299144	128.13309966079407	84.68043056917585	79.4093863178788	95.23823461251253	110.23123165879827
AT1G80100	2.5635099847022755	6.700216863335616	19.980816238901507	19.712398712742214	8.018661429795818	8.87006623992901	7.630390751361675	5.605823110159741	9.96240359637363	4.45286278418012	11.49426969461358	5.0681026050022195
AT1G80370	69.21476958696144	76.5739070095499	82.27394921900621	88.42418851144365	144.33590573632472	86.48314583930785	136.4992123299144	112.11646220319481	143.20955169787092	115.77443238868311	124.79492811294745	112.76528296129938
AT2G01420	822.8867050894304	916.0153626017407	659.3669358837498	713.0256220094756	433.00771720897416	610.9258122751105	334.88937186531797	405.2209276772613	178.07796428517864	224.1274268037327	164.203852780194	178.65061682632822
AT2G14878	296.0854032331128	212.49259195150097	235.06842634001774	238.80163012007714	376.8770872004034	303.7997687175686	406.954173405956	411.62758266030096	515.5543861123354	414.11623892875116	541.8727141746402	464.9984140089536
