gene_id	Col_T00_A	Col_T00_B	Col_T00_C	Col_T00_E	Col_T06_A	Col_T06_B	Col_T06_C	Col_T06_D	Col_T06_E	Col_T12_A	Col_T12_B	Col_T12_C	Col_T12_D	Col_T12_E	Col_T18_A	Col_T18_B	Col_T18_C	Col_T18_D	Col_T18_E	Col_T24_A	Col_T24_B	Col_T24_D	Col_T24_E	Col_T30_A	Col_T30_B	Col_T30_C	Col_T30_D	Col_T36_A	Col_T36_B	Col_T36_C	Col_T36_D	Col_T36_E	Col_T42_A	Col_T42_B	Col_T42_C	Col_T42_D	Col_T42_E	Col_T48_A	Col_T48_B	Col_T48_C	Col_T48_D	Col_T48_E
AT1G03840	658.5861546203658	636.5742253191818	814.8829887332626	648.1892728614466	547.2294454747652	605.256743389923	532.536263582264	527.8654880327663	589.3981071226044	591.3509770309851	652.8315167443949	839.9662879741218	831.2725924605398	688.3780652968297	694.8909714862974	527.3760848047672	410.94194027278746	522.8289700228164	609.7831716452415	523.4262435845559	318.2629186345349	551.4033676684456	641.5297928374396	442.61740143429995	489.8514601797676	591.2360681785441	562.0817899009268	654.1963661860468	685.1710451379851	625.8953133957706	542.916449648578	753.854597878868	608.3823371398828	632.5951244411272	612.1367262058853	629.8728633903607	748.3747911371948	583.899646622411	793.7124886223846	561.6671561378862	623.3303092340989	657.6930112349198
AT1G04240	431.91829110603936	484.7216060092348	472.8333391415227	308.90270034803314	218.70721513915575	291.78147665213135	332.4217049069413	341.56002166826056	304.5031316641244	372.9326322888954	322.07512328746077	337.0917339896147	263.55007103039765	259.8595963370973	297.38129471387657	340.3359377259284	422.6831385662957	393.85524532222774	352.5137904304628	353.4017324882121	527.6016298219563	391.4797323325823	312.32371493401666	309.0306605587567	443.81931941819374	336.1514472343194	402.8479656432792	353.37924848368664	383.05579034499993	358.51091706002956	475.2486023010741	318.78154511115866	309.91100250886336	416.2320680755269	459.7323149488645	340.184500058929	368.05317596911226	307.4555043671876	311.51582984709336	437.93757971330837	336.4385387019944	279.7511118210504
AT1G04550	498.8477783642066	545.0603951390151	529.4224355813326	470.9500185633948	337.75038287312657	344.93126236199913	446.5366185317121	440.68408390065787	476.362853701831	420.62222721074903	478.3379863379808	455.9027549859543	414.15011161919625	443.5103687484112	501.64319411330695	517.7348401099817	527.3754900167439	486.7717996764153	568.1821653211496	564.3745551574974	593.9773187350411	603.0453749123182	583.3794314983735	554.8302637697562	573.23043212526	548.7927036287563	567.5256813285387	505.40510366659987	563.760241809963	476.0161674676646	538.1954370429382	551.36456042426	541.8242694869725	634.5356002829711	677.6328368287373	583.8062123407141	588.0087644649388	679.5918497107575	637.954573698838	670.7445458806062	650.5011175853288	652.1350421258924
AT1G04610	174.01666687123486	92.51947666566308	60.36170286913056	88.6196271490259	232.54944394543142	162.70342564245243	282.8065250700843	234.07609876566107	251.4457678135573	54.366138210913135	39.06571576263001	53.41890866502091	24.769743517894515	29.983799577357377	16.02054112936709	0.9641244694785507	16.633364249136637	0	6.568579945909244	14.242890981892678	1.7019407413611494	3.3317424028304874	13.130726753982682	6.234047907525351	9.553840535421001	12.733009364936342	9.526809998320791	0	7.529352144373463	4.796132669699392	3.147341737093206	2.5502523608892695	4.159879228306891	3.880951683687897	3.778621766702996	0.8858971355701276	4.381585428203717	1.7720778349693806	2.3317053132267467	3.2560414848573114	5.593989954664989	0.9263281848379152
AT1G08925	0.8923931634422301	1.0056464854963378	1.25753547644022	1.265994673557513	0.9228152537517119	1.0846895042830162	1.6538393278952301	2.388531620057766	1.1534209532731985	0.9537918984370726	4.340635084736668	1.842031333276583	1.981579481431561	1.2493249823898906	0	0	0.9784331911256845	1.3868142440923512	1.0947633243182073	0	0.8509703706805747	0	0	0	0.8685309577655455	1.6977345819915122	0	0	0	0	7.8683543427330145	0.5100504721778539	0	0.9702379209219743	2.519081177801997	0.8858971355701276	0.8763170856407434	0	0.9326821252906987	1.6280207424286557	0.7991414220949985	0
AT1G09605	107.97957277650984	182.02201387483714	176.0549667016308	119.00349931440621	46.1407626875856	60.74261223984891	44.653661853171215	85.98713832207959	94.58051816840228	139.2536171718126	125.01029044041603	119.73203666297789	110.96845096016742	88.70207374968224	125.16047757318037	171.61415556718202	234.82396587016427	142.84186714151218	171.87784191795856	264.38366385138283	384.63860754761976	256.54416501794753	157.5687210477922	284.9850472011589	226.68657997680737	257.2067891717141	239.53122281492278	244.21174609170106	261.64498701697784	208.63177113192356	251.78733896745646	242.78402475665845	231.91326697810916	223.15472181205408	229.23638717998173	150.6025130469217	196.29502718352654	161.25908298221364	214.5168888168607	169.3141572125802	137.45232460033975	157.47579142244558
AT1G09745	101.73282063241423	142.80180094047995	114.43572835606001	75.95968041345078	62.751437255116414	58.57323323128288	61.192055132123514	83.59860670202181	87.65999244876309	123.99294679681944	76.39517749136536	58.023986998212365	62.41975366509418	84.95409880251256	83.10655710859177	63.63221498558435	88.05898720131161	73.50115493689462	79.91772267522914	63.20282873214876	89.35188892146034	46.64439363962682	51.58499796207482	47.20064844269194	52.11185746593273	56.44967485121778	42.19015856399208	32.34592663466239	36.70559170382063	25.17969651592181	75.53620169023694	37.233684468983334	56.158369582143024	60.154751097162404	49.122082967138944	38.09357682951549	42.93953719639643	54.9344128840508	40.57167245014539	29.304373363715804	23.974242662849957	24.084532805785795
AT1G09925	43.72726500866927	52.293617245809564	67.90691572777187	54.437770962973055	28.60727286630307	34.71006413705652	44.653661853171215	41.799303351010906	47.29025908420114	56.273722007787285	38.19758874568268	65.3921123313187	61.428963924378394	73.71017396100355	59.07574541454114	64.59633945506289	56.7491250852897	58.24619825187875	81.01248599954734	62.31264804578046	52.76016298219563	64.9689768551945	73.15690620076066	68.57452698277886	70.35100757900918	70.88041879814563	68.04864284514852	72.77833492799039	86.58754966029483	73.14102321291573	55.0784803991311	75.99752035450024	50.958520546759416	68.88689238546017	64.23657003395093	58.469210947628426	62.218513080492784	55.82045180153549	60.157997081250066	58.60874672743161	63.132172345504884	53.727034720599086
AT1G12820	1104.7827363414808	1281.1936225223342	1111.6613611731545	1212.8228972680974	1208.8879824147427	1134.585221480035	1243.687174577213	1135.7467853374678	1003.4762293476828	1031.0490422104756	1007.8954666758543	1004.828092302376	1106.7121403795268	1096.907334538324	1259.6150462964872	1180.088350641746	1182.9257280709526	1207.915206604438	1185.6286802366185	1178.5992287516192	1263.6910004606534	1267.7279842770004	1253.9844050053462	1215.6393419674434	1070.030139967152	1114.9871867229256	1145.939145512301	1210.54630430224	1125.6381455838327	1165.4602387369523	1216.447581386524	1191.9879534796446	1175.1658819966967	1222.4997803616875	1189.0063159225426	1242.9136812048891	1283.8045304636892	1157.1668262350056	1203.6262826876468	1250.3199301852076	1213.0966787402078	1230.1638294647514
AT1G14510	1290.4005143374648	1316.391249514706	1238.6724442936168	1234.3448067185752	1380.5316196125611	1274.510167532544	1213.9180666750988	1367.434352483071	1406.020142040029	1341.0314092025242	1442.8271021664684	1137.45434829829	1236.5055964132941	1254.3222823194503	1232.5803831406804	1226.3663251767164	1499.9380819956743	1350.7570737459503	1151.6910171827542	1324.5888613160191	1595.5694450260773	1294.3819234996442	1159.2555905658996	1349.2260828429867	1217.6804027872947	1213.4557924784333	1355.5289654753585	1189.5214519897095	1273.4016814171619	1183.445736248325	1309.2941626307736	1209.3296695336917	1364.4403868846603	1291.3866727471477	1287.2504818568207	1269.4905952719928	1275.0413596072817	1339.6908432368518	1268.4476903953503	1372.4214858673568	1235.4726385588676	1197.7423429954245
