gene_id	Col_T06_A	Col_T06_B	Col_T09_A	Col_T09_B	Col_T12_A	Col_T12_B	Col_T15_A	Col_T15_B	Col_T18_A	Col_T18_B	Col_T21_A	Col_T21_B	Col_T24_A	Col_T24_B	Col_T27_A	Col_T27_B	Col_T30_A	Col_T30_B	Col_T33_A	Col_T33_B	Col_T36_A	Col_T36_B	Col_T39_A	Col_T39_B	Col_T42_A	Col_T42_B	Col_T45_A	Col_T45_B	Col_T48_A	Col_T48_B
AT1G03840	311.80376736377855	377.54689762250695	443.7468375925178	386.4916706224181	464.58310740845036	484.37849630358807	508.418824596504	502.8912841011218	469.5474747594178	457.82162289867506	454.02530773176096	508.49353837111414	549.8375925619958	427.7215342377733	405.59159551995	454.5130394960989	469.9662934072374	436.5309291716899	623.0343648047499	486.3623891169709	537.298335336864	504.87828172137034	592.7770000763836	495.4886184001793	570.8054611497078	545.1711737389971	505.5598206873651	591.355935468823	476.94346193142036	499.32070595569945
AT1G04240	196.57194029455604	209.29230194291145	208.61405113911195	252.87187371578284	259.4850642224913	248.0187486543536	247.96567234706689	256.4346428848974	296.30301847922266	302.41428301563855	279.96992874813316	381.3701537783356	278.8718770118358	283.18925755852575	357.9467996606787	263.991135268967	320.0487302773301	302.2137201957853	380.27547941911536	363.4918908137362	256.01164991771674	275.7514625760519	220.69336665726883	322.6181448694501	241.2983494770795	195.4675356823295	192.0978405557293	239.0211116415901	195.2047080478809	185.5115122821522
AT1G04550	271.981003597209	236.99275367064973	283.45581524834137	287.35440194975325	365.63804504078325	301.0142077685317	391.27437027426856	334.2630559005472	393.2374166359985	382.2180521447654	382.92183376398106	358.5276706093207	381.65197601362064	343.11727471821376	323.74027955658653	320.02698945341757	361.3181718130911	316.20509613077536	333.96887122416774	319.9752559980072	356.29646819758665	310.38691198173956	347.1883451071668	310.5062008641124	414.7998817294811	368.028719526886	408.76633513602866	364.7285110975375	341.10513416614236	313.8091936735472
AT1G04610	341.4590169771814	274.952631964217	111.96799354924087	109.19467274090623	16.381632842328997	54.05536829646169	17.839257003386106	27.938404672284545	6.8747800111188555	2.1000991876086013	6.665950684479361	23.835634611145974	1.437483902122865	11.750591599938828	6.10830716144503	3.7357236122967032	0	11.193100747992048	7.717768032491271	15.358812287904344	7.33791353267341	3.996398008348578	9.419838820737084	16.516287280005976	4.373988208043738	3.0541802450363984	7.44565273471819	8.852633764503338	6.03725901179013	5.201257353705202
AT1G08925	16.945856921944486	11.285369222411893	4.125136604445716	4.310316029246298	2.6210612547726395	2.119818364567125	1.1892838002257404	4.989000834336526	2.0624340033356567	1.0500495938043006	2.2219835614931203	0	3.5937097553071626	0	0	1.245241204098901	0.8422335007298161	0	1.4032305513620493	0	4.076618629263005	0	2.0185368901579466	0	0.7289980346739563	0	0.7445652734718191	0	1.006209835298355	0
AT1G09605	29.65524961340285	33.856107667235676	55.98399677462044	50.28702034120681	123.18987897431407	85.85264376496856	122.49623142325126	89.80201501805746	164.30724226574063	164.8577862272752	182.94331322960025	142.02065622474476	206.99768190569256	191.53464307900288	211.347427785998	179.31473339024174	202.97827367588567	183.2870247483698	176.80704947161823	151.0283208310594	183.44783831683523	125.22047092825544	156.10018617221453	116.71509677870891	145.0706089001173	116.05884931138314	121.3641395759065	111.54318543274205	128.79485891818945	105.75889952533912
AT1G09745	23.724199690722283	14.36319719216059	18.26846210540246	21.55158014623149	21.623755351874276	21.19818364567125	24.380317904627677	19.956003337346104	24.749208040027877	18.90089268847741	19.997852053438084	17.876725958359483	14.37483902122865	16.450828239914358	9.773291458312046	9.961929632791207	16.84467001459632	11.193100747992048	9.822613859534345	5.119604095968115	9.783884710231213	9.32492868614668	10.092684450789733	8.808686549336521	18.224950866848907	12.216720980145594	10.423913828605468	8.852633764503338	10.06209835298355	10.402514707410404
AT1G09925	20.335028306333385	23.596681101406684	30.054566689533075	31.608984214472855	39.971184135282755	44.516185655909624	41.030291107788045	43.90320734216143	41.24868006671313	47.252231721193525	46.66165479135553	41.71236056950546	48.15571072111598	47.00236639975531	50.08811872384924	46.07392455165934	51.37624354451878	51.76809095946322	44.20176236790456	40.95683276774492	40.76618629263005	46.62464343073341	42.38927469331688	38.53800365334728	36.449901733697814	35.12307281791858	34.250002579703676	42.49264206961602	36.22355407074078	32.94129657346628
AT1G12820	521.9323931958902	542.7236653323537	489.7126454706272	525.8585555680484	437.0619642333377	564.9315941571388	474.5242362900704	540.8076904420794	508.7337208227953	581.7274749675825	484.3924164055002	571.0620792253724	587.2121740171904	568.7286334370392	530.2010616134286	584.0181247223845	539.0294404670823	570.8481381475945	536.7356858959839	609.2328874202057	441.90545941210974	584.8062418883419	514.0540613602237	570.3624540695397	519.0466006878569	615.4173193748343	473.54351392807695	559.4864539166109	510.148386496266	509.7232206631098
AT1G14510	760.0216829492102	811.5206413570734	728.3812632992722	794.5349213910677	709.6523347296921	733.4571541402252	743.3023751410877	764.3149278203557	842.8480293631717	768.636302664748	794.7294538273727	830.2746056215848	769.7726295867942	781.414341395932	794.0799309878538	833.0663655421648	819.493196210111	817.0963546034195	761.9541893895928	837.0552696907868	883.8109188242195	767.308417602927	876.0450103285488	843.4317370989719	885.7326121288569	818.5203056697547	839.8696284762119	851.6233681452211	925.7130484744868	894.6162648372948
AT1G15580	5.931049922680571	4.103770626331597	1.178610458413062	0	1.3105306273863198	1.0599091822835625	0	2.9934005006019153	4.1248680066713135	3.1501487814129017	1.481322374328747	1.9863028842621646	2.87496780424573	0	0	0	4.21116750364908	2.798275186998012	3.508076378405123	0	3.261294903410404	0	6.728456300526489	2.2021716373341302	7.289980346739562	0	4.467391640830915	0	5.031049176491775	6.93500980494027
AT1G16060	133.87226968336145	129.2687747294453	293.4740041448524	218.38934548181246	421.990862018395	323.27230059648656	475.1188781901833	468.9660784276334	514.2335448316903	436.820631022589	485.873738779829	519.418204234556	398.1830408880336	390.1196411179691	499.6595258062034	393.4962204952527	434.5924863765851	408.54817730170976	477.0983874630968	399.329119485513	342.43596485809246	298.3977179566938	342.47842569679824	330.32574560011955	287.2252256615388	290.14712327845785	279.21197755193214	223.0863708654841	263.626976848169	247.92660052661464
AT1G17950	33.04442099779175	16.41508250532639	97.23536281907761	74.71214450693584	191.3374715984027	189.7237436287577	222.39607064221346	254.4390425511628	301.80284248811773	352.816663518245	279.96992874813316	313.835855713422	240.05981165451846	247.93748275870925	271.2088379681593	254.02920563617582	266.14578623062187	288.22234426079524	293.97680051034934	215.02337203066082	216.06078735093928	193.15923707018126	154.75449491210924	165.16287280005977	136.3226324840298	171.0340937220383	72.96739680023826	136.3305599733514	69.4284786355865	60.68133579322736
