gene_id	arf7_T06_A	arf7_T06_B	arf7_T09_A	arf7_T09_B	arf7_T12_A	arf7_T12_B	arf7_T15_A	arf7_T15_B	arf7_T18_A	arf7_T18_B	arf7_T21_A	arf7_T21_B
AT1G03840	252.83961854085993	263.1995384661767	250.44623343849432	255.55292835301023	295.0221768502318	296.7818182193913	256.9660664993122	279.4578833083791	304.5625993663144	313.91254145858983	286.0389692509706	346.99634339149145
AT1G04240	119.2639710098396	93.81369687903327	121.22913363439312	100.54541443397123	136.84007351776708	106.30990503381182	117.39566489816293	139.72894165418955	162.6054555938797	157.38865715003678	124.79692480833852	182.56602039064535
AT1G04550	180.08859622485778	196.7481698435281	154.12075903907342	203.8837570466639	210.90947110995293	148.39090910969566	172.18030851730563	228.5566259914958	215.9469277992794	272.40344506737136	214.25312754705905	264.1766586447418
AT1G04610	126.41980927042997	204.5659779167809	60.61456681719656	76.80552491483914	7.532481111069748	28.792265946657366	19.56594414969382	22.955468986045428	12.044848562509609	6.05340989038603	4.417590258702249	13.299511419186084
AT1G08925	0	7.817808073252773	0	1.3964640893607116	0.6277067592558123	0	0	1.9961277379169937	0	3.4590913659348743	0	0
AT1G09605	29.8159927524599	22.150456207549524	47.92779701824844	40.497458591460635	63.398382684837046	35.4366350112706	87.39455053529908	61.879959875426806	105.82259808490585	76.96478289205095	99.39578082080058	91.28301019532267
AT1G09745	5.963198550491979	13.029680122087955	14.566291250644134	19.55049725104996	8.787894629581372	13.288738129226477	10.435170213170037	13.972894165418957	12.044848562509609	11.242046939288342	19.87915616416012	12.090464926532803
AT1G09925	13.119036811082355	18.241552170923136	16.445812702340152	22.343425429771386	18.83120277767437	26.577476258452954	20.870340426340075	30.939979937713403	25.810389776806304	30.26704945193015	27.609939116889052	30.83068556265865
AT1G12820	360.17719244971556	439.10022011436405	337.3741005794351	404.97458591460634	355.2820257387898	380.943826371159	315.66389894839364	364.29331216985133	342.4178377056303	448.81710473004995	368.86878660163774	414.7029469800752
AT1G14510	493.7528399807359	474.28035644400154	549.7600246210851	483.1765749188062	501.53770064539407	507.18683859881054	529.5848883183794	439.14810234173865	513.6267565584454	487.7318825968173	593.0614922307768	513.8447593776442
AT1G15580	0	0	0.4698803629240043	0	0.6277067592558123	0	0	1.9961277379169937	0.8603463258935434	0	1.1043975646755622	1.8135697389799206
